threshold_scale,active_threshold,window_size,min_votes,accuracy,precision,recall,f1
1.0,0.00021239913621684536,7,1,0.505925,0.5029870686395603,0.9977,0.6688005899012921
1.0,0.00021239913621684536,7,2,0.533325,0.5177851901267512,0.9702,0.6752153110047847
1.0,0.00021239913621684536,7,3,0.582475,0.5533974296720727,0.85475,0.6718280246015995
1.0,0.00021239913621684536,7,4,0.608575,0.6091041551524896,0.60615,0.607623486955868
1.0,0.00021239913621684536,7,5,0.581775,0.6837433996180204,0.3043,0.4211618975121968
1.0,0.00021239913621684536,7,6,0.5307,0.7584175084175084,0.0901,0.16106542724347514
1.0,0.00021239913621684536,7,7,0.5047,0.8357142857142857,0.0117,0.023076923076923078
1.05,0.00022301909302768763,1,1,0.830525,0.8476831641508441,0.80585,0.8262374080434727
1.05,0.00022301909302768763,3,1,0.5932,0.5545061114685069,0.94815,0.6997675190966456
1.05,0.00022301909302768763,3,2,0.661825,0.6738464843959822,0.62725,0.6497138565916565
1.05,0.00022301909302768763,3,3,0.572,0.8409090909090909,0.1776,0.29326287978863935
1.05,0.00022301909302768763,5,1,0.524225,0.5126162018592297,0.9843,0.6741434515350239
1.05,0.00022301909302768763,5,2,0.590275,0.5579410160136068,0.8693,0.6796583334962178
1.05,0.00022301909302768763,5,3,0.624475,0.6360754304454769,0.58185,0.6077555816686252
1.05,0.00022301909302768763,5,4,0.57535,0.739739102768056,0.2325,0.3538005021684547
1.05,0.00022301909302768763,5,5,0.5158,0.8442265795206971,0.03875,0.07409886222392198
1.05,0.00022301909302768763,7,1,0.5071,0.5035898473050865,0.996,0.6689502317146887
1.05,0.00022301909302768763,7,2,0.5385,0.520952380952381,0.95725,0.6747136563876652
1.05,0.00022301909302768763,7,3,0.585525,0.5584366779406238,0.8173,0.66351403462483
1.05,0.00022301909302768763,7,4,0.60335,0.6153459821428572,0.55135,0.5815928270042194
1.05,0.00022301909302768763,7,5,0.5706,0.6881161737276845,0.25825,0.37555442448920234
1.05,0.00022301909302768763,7,6,0.524025,0.7576407506702413,0.07065,0.1292476560713469
1.05,0.00022301909302768763,7,7,0.503675,0.8387096774193549,0.0091,0.01800464955235693
1.1,0.00023363904983852993,1,1,0.7814,0.8346812559467174,0.7018,0.7624945675793133
1.1,0.00023363904983852993,3,1,0.59645,0.5598882334678671,0.9017,0.6908255123539552
1.1,0.00023363904983852993,3,2,0.63495,0.6763360773552856,0.5176,0.586415906644763
1.1,0.00023363904983852993,3,3,0.5476,0.8246930422919508,0.1209,0.2108843537414966
1.1,0.00023363904983852993,5,1,0.5305,0.5163058005880781,0.96575,0.6728792893224177
1.1,0.00023363904983852993,5,2,0.59285,0.5666260045924225,0.78965,0.6598011363636364
1.1,0.00023363904983852993,5,3,0.602925,0.6445068445068445,0.45905,0.5361950649729887
1.1,0.00023363904983852993,5,4,0.547325,0.7329559438838297,0.1489,0.24751693471304492
1.1,0.00023363904983852993,5,5,0.50775,0.8176229508196722,0.01995,0.038949629051151895
1.1,0.00023363904983852993,7,1,0.510075,0.5051483175349396,0.98855,0.668628147246318
1.1,0.00023363904983852993,7,2,0.547525,0.5274290826191095,0.91385,0.6688379411926152
1.1,0.00023363904983852993,7,3,0.584675,0.5677318721753389,0.70975,0.6308468324333933
1.1,0.00023363904983852993,7,4,0.58415,0.6262376237623762,0.41745,0.500960038401536
1.1,0.00023363904983852993,7,5,0.54295,0.6884598508117595,0.1569,0.2555582702174444
1.1,0.00023363904983852993,7,6,0.5116,0.7489270386266095,0.0349,0.06669214599656029
1.1,0.00023363904983852993,7,7,0.501525,0.8351648351648352,0.0038,0.007565576626350107
1.15,0.00024425900664937217,1,1,0.7646,0.8323703052380355,0.66265,0.7378765102165804
1.15,0.00024425900664937217,3,1,0.59805,0.5626117496807151,0.88105,0.6867108339828527
1.15,0.00024425900664937217,3,2,0.62485,0.6786123032904149,0.47435,0.5583872866391996
1.15,0.00024425900664937217,3,3,0.5396,0.8211678832116789,0.10125,0.18027241164426244
1.15,0.00024425900664937217,5,1,0.53345,0.5181408970117686,0.9554,0.671894229754914
1.15,0.00024425900664937217,5,2,0.592425,0.5700162872618462,0.75245,0.6486498135816039
1.15,0.00024425900664937217,5,3,0.593925,0.6483924480606683,0.4104,0.5026485807893689
1.15,0.00024425900664937217,5,4,0.53875,0.7344222625529341,0.1214,0.20835836265339397
1.15,0.00024425900664937217,5,5,0.50565,0.8104395604395604,0.01475,0.028972696916126497
1.15,0.00024425900664937217,7,1,0.51195,0.5061471193415638,0.98395,0.6684442934782608
1.15,0.00024425900664937217,7,2,0.5498,0.5297029702970297,0.8881,0.6636030785324666
1.15,0.00024425900664937217,7,3,0.5838,0.572428694900605,0.6623,0.614093648585999
1.15,0.00024425900664937217,7,4,0.57555,0.6314598921176265,0.3629,0.4609131898139328
1.15,0.00024425900664937217,7,5,0.53575,0.6942934782608695,0.12775,0.21579391891891891
1.15,0.00024425900664937217,7,6,0.5074,0.7235649546827795,0.02395,0.04636530829542155
1.15,0.00024425900664937217,7,7,0.501,0.8225806451612904,0.00255,0.00508423885953544
